pmid,sentence
1850_0_edt,Omega-3 fatty acids supplementation would elevate serum irisin in male patients with CAD.
1851_0_edt,"""The 3M barrier film was helpful against dermatitis associated pruritus."""
1852_0_edt,"""Corticosteroids will delay the time of onset of severe skin reactions and also reduce the incidence of severe radiation dermatitis."""
1853_0_edt,Daily glucose fluctuation had an effect on coronary plaque vulnerability in patients with CAD pre-treated with lipid-lowering therapy.
1854_0_edt,The survival benefit suggests that diabetes screening and maintenance of good glycemic control will improve outcomes in EC.
1855_0_edt,"Late preterm birth will affect cognition, behavior, and brain structure well beyond infancy."
1856_0_edt,"Moreover, TT genotype will reduce the risk of CAD in diabetic patients."
1857_0_edt,Additional analysis including inter-peak intervals and binocular summation ratio will improve the diagnostic power of VEP.
1858_0_edt,"Increasing the adherence to healthy lifestyle behaviors will strengthen and balance body constitution, which would improve supportive care in breast cancer survivors."
1859_0_edt,"In long-term home PN patients, higher zinc and selenium doses was necessary to maintain their normal serum concentrations."
1861_0_edt,These results suggest that mulberry leaf extract was a useful complementary mealtime glucose option for patients with DM2.
1862_0_edt,"Also, these fatty acids will able to decrease serum hs-CRP and LDL cholesterol."
1863_0_edt,"""The present meta-analysis suggests that insulin therapy will increase the risk of CRC."""
1866_0_edt,"This was accomplished by optimizing patients adherence, using more potent statins, titrating current statin therapy to higher doses, or using a combined lipid-lowering treatment."""
1867_0_edt,"Thus, mammographic density would influence adjuvant therapy decisions in the future."
1868_0_edt,"Thus, CETP gene variation will affect coronary risk apart from the level of HDL-C."
1869_0_edt,Cord BDNF will derive from BDNF secreted by the placenta.
1870_0_edt,Early recognition and management of comorbidities will reduce premature mortality and improve quality of life in patients with MS.
1871_0_edt,"Thus, these substitutions was useful to tackle the diabetes epidemic."
1872_0_edt,These results suggest that the GSTT1 polymorphism will play an important role in the pathogenesis of T2DM in the Brazilian population.
1873_0_edt,"The present literature supports the idea that authoritative parenting was protective against later overweight and obesity, although findings are mixed."
1874_0_edt,Our findings suggest that exposure to ambient NO2 and UFPs will increase the risk of incident postmenopausal breast cancer especially amongst cases with positive oestrogen and progesterone receptor status.
1875_0_edt,"Because medium and small LDL particles are more highly associated with cardiovascular disease than are larger LDL, the present results suggest that very high saturated fat intake will increase cardiovascular disease risk in phenotype B individuals."
1876_0_edt,"Although not significant, IR levels decreased over time, which was indicative of a clinical improvement."
1877_0_edt,"Because low general nutrition knowledge was detrimental to dietary intake, health, and operational readiness in military personnel, nutrition education programs particularly targeted at SOLs and CKs seem warranted."
1879_0_edt,This finding suggests that both GSTM1-null and GSTT1-null will contribute to the clinical course of T2DM patients.
1880_0_edt,Interventions to promote earlier HIV diagnosis and treatment and integrating nutrition counseling at all stages of ART implementation will improve ART outcomes in this vulnerable population.
1881_0_edt,"Diet will influence the pharmacokinetics of ASA, but effects was through modulation of glycine conjugation rather than glucuronidation."
1882_0_edt,"Closer follow-up with patients who evidence presurgical psychological factors, both before and after surgery, will help improve outcomes."
1884_0_edt,"The balance between LDL-C and HDL-C, or LDL-C/HDL-C, had an impact on the development of arterial stiffness after ADT administration."
1885_0_edt,"Thus, provision of information will reduce subsequent depression and anxiety, while reducing depression and anxiety levels will increase satisfaction with received information."
1887_0_edt,Combining the provision of information with emotional support was particularly beneficial.
1888_0_edt,Apelin will be directly involved in the regulation of maternal insulin sensitivity.
1889_0_edt,Interventions to reduce the risk of exacerbations in patients with COPD will reduce disease burden.
1890_0_edt,"Instead, patient and surgeon variables was responsible for the differences observed, and was targeted in future research to improve equity."
1892_0_edt,"Although this study investigates women with gynecological diseases, the postmenopausal ovary is hormonally active, and the E2 produced by postmenopausal ovaries will contribute to the maintenance of lipid metabolism."
1893_0_edt,The rs7044343 polymorphism was involved in regulating the production of IL-33.
1895_0_edt,Obstetric care provider knowledge of GDM diagnosis had affected decision-making regarding the route of delivery.
