pmid,sentence
1850_0_edt_mask,[MASK] [MASK] [MASK] supplementation would [MASK] serum irisin in male [MASK] with CAD.
1851_0_edt_mask,"""The [MASK] [MASK] film was helpful against [MASK] associated [MASK]"
1852_0_edt_mask,"""Corticosteroids [MASK] [MASK] the [MASK] of [MASK] of severe [MASK] [MASK] and also reduce the [MASK] of severe [MASK] [MASK]"
1853_0_edt_mask,Daily [MASK] fluctuation had an [MASK] on coronary [MASK] [MASK] in [MASK] with [MASK] pre-treated with lipid-lowering [MASK]
1854_0_edt_mask,The [MASK] [MASK] suggests that diabetes screening and [MASK] of good glycemic control [MASK] improve [MASK] in EC.
1855_0_edt_mask,"Late preterm birth [MASK] [MASK] cognition, [MASK] and [MASK] [MASK] well beyond [MASK]"
1856_0_edt_mask,"Moreover, [MASK] genotype [MASK] reduce the [MASK] of [MASK] in diabetic [MASK]"
1857_0_edt_mask,Additional [MASK] including inter-peak [MASK] and binocular [MASK] ratio [MASK] improve the diagnostic [MASK] of VEP.
1858_0_edt_mask,Increasing the [MASK] to healthy [MASK] behaviors [MASK] [MASK] and [MASK] [MASK] [MASK] which would improve supportive [MASK] in [MASK] [MASK] [MASK]
1858_1_edt_mask,Increasing the [MASK] to healthy [MASK] [MASK] [MASK] [MASK] and [MASK] [MASK] [MASK] which would improve supportive [MASK] in [MASK] [MASK] [MASK]
1859_0_edt_mask,In long-term [MASK] [MASK] [MASK] higher [MASK] and [MASK] doses was necessary to maintain their normal [MASK] [MASK]
1861_0_edt_mask,These [MASK] suggest that [MASK] [MASK] extract was a useful complementary [MASK] [MASK] [MASK] for [MASK] with [MASK]
1862_0_edt_mask,"Also, these fatty acids will able to decrease [MASK] [MASK] and [MASK] cholesterol."
1863_0_edt_mask,"""The present [MASK] suggests that [MASK] therapy [MASK] [MASK] the [MASK] of [MASK]"
1866_0_edt_mask,"This [MASK] accomplished by optimizing [MASK] [MASK] using more potent [MASK] titrating current [MASK] [MASK] to higher [MASK] or using a combined [MASK] treatment."""
1867_0_edt_mask,"Thus, mammographic density [MASK] [MASK] adjuvant [MASK] [MASK] in the [MASK]"
