pmid,sentence
1850_0_edt_multiples,acids supplementation acids supplementation acids supplementation acids supplementation
1851_0_edt_multiples,barrier film barrier film barrier film barrier film
1852_0_edt_multiples,
1853_0_edt_multiples,glucose fluctuation glucose fluctuation glucose fluctuation glucose fluctuation glucose fluctuation glucose fluctuation
1854_0_edt_multiples,glycemic control glycemic control glycemic control glycemic control glycemic control glycemic control
1855_0_edt_multiples,preterm birth preterm birth preterm birth preterm birth
1856_0_edt_multiples,TT genotype TT genotype TT genotype TT genotype
1857_0_edt_multiples,summation ratio summation ratio summation ratio summation ratio summation ratio
1858_0_edt_multiples,lifestyle behaviors lifestyle behaviors lifestyle behaviors lifestyle behaviors lifestyle behaviors lifestyle behaviors lifestyle behaviors
1858_1_edt_multiples,"constitution, which constitution, which constitution, which constitution, which constitution, which constitution, which constitution, which"
1859_0_edt_multiples,selenium doses selenium doses selenium doses selenium doses selenium doses selenium doses
1861_0_edt_multiples,leaf extract leaf extract leaf extract leaf extract leaf extract leaf extract
1862_0_edt_multiples,fatty acids fatty acids fatty acids fatty acids
1863_0_edt_multiples,insulin therapy insulin therapy insulin therapy insulin therapy
1867_0_edt_multiples,mammographic density mammographic density mammographic density mammographic density
1868_0_edt_multiples,gene variation gene variation gene variation gene variation gene variation
1869_0_edt_multiples,Cord BDNF Cord BDNF Cord BDNF Cord BDNF
1870_0_edt_multiples,of comorbidities of comorbidities of comorbidities of comorbidities of comorbidities of comorbidities
1871_0_edt_multiples,these substitutions these substitutions these substitutions these substitutions
1872_0_edt_multiples,GSTT1 polymorphism GSTT1 polymorphism GSTT1 polymorphism GSTT1 polymorphism GSTT1 polymorphism GSTT1 polymorphism GSTT1 polymorphism
1873_0_edt_multiples,authoritative parenting authoritative parenting authoritative parenting authoritative parenting authoritative parenting authoritative parenting authoritative parenting
1874_0_edt_multiples,and UFPs and UFPs and UFPs and UFPs and UFPs and UFPs and UFPs and UFPs and UFPs and UFPs
1875_0_edt_multiples,fat intake fat intake fat intake fat intake fat intake fat intake fat intake fat intake fat intake fat intake fat intake fat intake
1876_0_edt_multiples,"time, which time, which time, which time, which time, which"
1877_0_edt_multiples,nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge nutrition knowledge
1879_0_edt_multiples,and GSTT1-null and GSTT1-null and GSTT1-null and GSTT1-null and GSTT1-null and GSTT1-null
1880_0_edt_multiples,ART implementation ART implementation ART implementation ART implementation ART implementation ART implementation ART implementation ART implementation ART implementation
1881_1_edt_multiples,but effects but effects but effects but effects but effects but effects
1882_0_edt_multiples,"after surgery, after surgery, after surgery, after surgery, after surgery, after surgery,"
1884_0_edt_multiples,"or LDL-C/HDL-C, or LDL-C/HDL-C, or LDL-C/HDL-C, or LDL-C/HDL-C, or LDL-C/HDL-C, or LDL-C/HDL-C, or LDL-C/HDL-C,"
1885_0_edt_multiples,of information of information of information of information of information of information of information
1885_1_edt_multiples,anxiety levels anxiety levels anxiety levels anxiety levels anxiety levels anxiety levels anxiety levels
1887_0_edt_multiples,emotional support emotional support emotional support emotional support
1889_0_edt_multiples,with COPD with COPD with COPD with COPD with COPD
1890_0_edt_multiples,surgeon variables surgeon variables surgeon variables surgeon variables surgeon variables surgeon variables surgeon variables
1890_1_edt_multiples,"observed, and observed, and observed, and observed, and observed, and observed, and observed, and"
1892_0_edt_multiples,postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries postmenopausal ovaries
1893_0_edt_multiples,rs7044343 polymorphism rs7044343 polymorphism rs7044343 polymorphism rs7044343 polymorphism
1895_0_edt_multiples,GDM diagnosis GDM diagnosis GDM diagnosis GDM diagnosis GDM diagnosis
1897_0_edt_multiples,in Africa in Africa in Africa in Africa in Africa in Africa in Africa in Africa in Africa in Africa
1899_0_edt_multiples,lipid metabolism lipid metabolism lipid metabolism lipid metabolism lipid metabolism lipid metabolism lipid metabolism lipid metabolism lipid metabolism lipid metabolism
1903_0_edt_multiples,the SEADiet the SEADiet the SEADiet the SEADiet the SEADiet the SEADiet the SEADiet the SEADiet the SEADiet
1905_0_edt_multiples,and obesity and obesity and obesity and obesity and obesity and obesity and obesity
1907_0_edt_multiples,intravitreal steroids intravitreal steroids intravitreal steroids intravitreal steroids
1908_0_edt_multiples,MRI results MRI results MRI results MRI results
1912_0_edt_multiples,Pilates method Pilates method Pilates method Pilates method Pilates method
1914_0_edt_multiples,in WTC in WTC in WTC in WTC in WTC in WTC
1917_0_edt_multiples,milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula milk-based formula
