pmid,sentence
1850_0_edt,Omega-3 fatty acids supplementation would elevate serum irisin in male patients with CAD.
1852_0_edt,"""Corticosteroids will delay the time of onset of severe skin reactions and also reduce the incidence of severe radiation dermatitis."""
1861_0_edt,These results suggest that mulberry leaf extract was a useful complementary mealtime glucose option for patients with DM2.
1863_0_edt,"""The present meta-analysis suggests that insulin therapy will increase the risk of CRC."""
1866_0_edt,"This was accomplished by optimizing patients adherence, using more potent statins, titrating current statin therapy to higher doses, or using a combined lipid-lowering treatment."""
1868_0_edt,"Thus, CETP gene variation will affect coronary risk apart from the level of HDL-C."
1877_0_edt,"Because low general nutrition knowledge was detrimental to dietary intake, health, and operational readiness in military personnel, nutrition education programs particularly targeted at SOLs and CKs seem warranted."
1880_0_edt,Interventions to promote earlier HIV diagnosis and treatment and integrating nutrition counseling at all stages of ART implementation will improve ART outcomes in this vulnerable population.
1882_0_edt,"Closer follow-up with patients who evidence presurgical psychological factors, both before and after surgery, will help improve outcomes."
1885_0_edt,"Thus, provision of information will reduce subsequent depression and anxiety, while reducing depression and anxiety levels will increase satisfaction with received information."
1887_0_edt,Combining the provision of information with emotional support was particularly beneficial.
1888_0_edt,Apelin will be directly involved in the regulation of maternal insulin sensitivity.
1889_0_edt,Interventions to reduce the risk of exacerbations in patients with COPD will reduce disease burden.
1893_0_edt,The rs7044343 polymorphism was involved in regulating the production of IL-33.
1895_0_edt,Obstetric care provider knowledge of GDM diagnosis had affected decision-making regarding the route of delivery.
1901_0_edt,"This will elevate the risk of atherosclerosis, particularly cardiovascular disorders."
1903_0_edt,Our findings seem suggest that improving muscular fitness as well as an adherence to the SEADiet was an important strategy to reduce clustered cardiometabolic risk in youth.
1905_0_edt,Our data suggests that age and obesity will contribute to the sex-specific incidence of EGFR mutation in lung adenocarcinoma in different manners.
1907_0_edt,"Therefore, intravitreal steroids was useful in DME with HEs in the fovea."
1910_0_edt,"It was an effective approach to solve the dialysis problem for the economically week population in China, especially for people with a smaller body size with lower transport membrane."
1914_0_edt,A progressive increase in WTC would play a crucial role in reducing fatigue and promoting sleep among employees.
1918_0_edt,Increased titers of cows milk antibody before anti-TG2A and celiac disease indicates that subjects with celiac disease had increased intestinal permeability in early life.
1920_0_edt,Improved cholesterol level monitoring will increase adherence and cholesterol management.
1923_0_edt,Body contouring surgery had a positive effect on weight loss maintenance after body contouring determined from the mean weight change and on percentage of patients who maintain at least a 20% decrease in body weight.
1924_0_edt,Rapid progressors will benefit from careful clinical follow-up and early preventive measures.
1925_0_edt,"""Robotic surgery will offer particular advantages in obese patients with no conversions and no wound complications."""
1926_0_edt,An electronic dietary recording system will improve eating and exercise behaviour in a self-monitoring process.
1931_0_edt,The present analysis shows that LopiGLIKÂ® will represent a more effective tool for clinical management of CV risk factors in subjects with mild hypercholesterolemia.
1932_0_edt,"Although metformin will improve tumour response in the non-randomized, retrospective studies analysed, it will necessarily confer survival benefits."
1934_0_edt,Variability in withdrawal of life-sustaining therapy had a potential impact both on rates of cDCD success and quality of palliative care.
1936_0_edt,Monitoring growth trajectories will improve chronic disease prevention.
1938_0_edt,"Thus, IR was accused of causing detrimental effect on male infertility due to hyperinsulinemic state and being one of the components for MetS."
1942_0_edt,Sldenafil was a promising treatment for metabolic disease.
1945_0_edt,"However, intensive prenatal nutrition counseling offered in an urban community health setting will decrease LGA births among a group of overweight and obese women from culturally diverse backgrounds at risk for adverse maternal and neonatal outcomes."
1946_0_edt,The lack of statin-OxPL-apoB treatment interaction suggested that\\xa0OxPLs was statin-independent therapeutic targets to reduce risk of cardiovascular events.
1948_0_edt,Placement of a stent will decrease the likelihood of symptomatic recurrence.
1950_0_edt,A simultaneous integrated boost strategy would benefit from adaptive planning during the course.
1951_0_edt,"Metabolic disorders in this population was due to HIV infection or lifestyle (smoking, sedentary lifestyle and inadequate diet)."
1953_0_edt,"It was not dyslipidemia, but some other common genetic or risk factors that was responsible for the increased insulin resistance in antipsychotic naïve schizophrenia patients in our study population."
1954_0_edt,HDL cholesterol had a protective effect against sepsis.
1955_0_edt,Advances in knowledge: MR lesion characteristics will be helpful in determining whether small lesions on MR are benign or malignant.
1956_0_edt,Surgical resection with SRS will improve outcomes in patients with a limited number of large BMs compared with SRS alone.
1959_0_edt,"""This suggests that whole-grain intake dominated by rye was favorable for T2D prevention."""
1960_0_edt,Age stratification will improve evaluation of risk for CVD and mortality in early RA.
1962_0_edt,The short-term application of ZOL will be sufficient to improve the outcome in postmenopausal patients.
1967_0_edt,"Preventing deterioration of malnutrition, coupled to early detection of HIV/AIDS with adequate antiretroviral treatment, and extending the duration of feeding supplementation, was crucial elements for ensuring full recovery and improve child survival in malnourished Zambian children."
1968_0_edt,This study suggests that total and red meat and meat nutrients will play a role in the etiology of prostate cancer in Uruguay.
1970_0_edt,Effective and efficient interventions that target children with obesity are necessary and would work in synergy with population-level prevention strategies to accelerate progress in reducing obesity prevalence.
1971_0_edt,MTHFR A1298C polymorphism will contribute to an increased risk of breast cancer and/or ovarian cancer susceptibility.
1973_0_edt,"Hence, it was concluded that continued use of DMPA will predispose females to the risk of cardiovascular disease in the long run."
1974_0_edt,Novel EN formulas with a lower nonprotein energy-to-nitrogen ratio will help to optimize protein delivery without the harmful effects of energy overfeeding.
1976_0_edt,Some DAN AP members are diving with medical conditions which would impact the safety of their diving.
1978_0_edt,"Dietary intake of cholesterol will increase the risk of active tuberculosis, whereas marine n-3 and n-6 FAs will reduce the risk of active tuberculosis in the Chinese population."
1979_0_edt,"At short term, unfavourable effects will occur."
1982_0_edt,Altering margin policies to follow either SSO-ASTRO or ABS guidelines would result in a modest reduction in the national re-excision rate.
1983_0_edt,Addressing screening measures and glycaemic control along with social determinants such as literacy level and alcohol consumption was an important means of improving the HRQoL of TB with DM patients.
1984_0_edt,"Application of either form of therapy alone will have relatively miniscule effects on the aforementioned factors, in relation to the aggregate."
1985_0_edt,Detection and treatment of secondary lipid targets such as high TG and low HDL-C levels was important for the prevention of cardiovascular diseases.
1986_0_edt,"The inappropriate intake of selected nutrients will impair the functioning and quality of life of older adults with depression, such as the excess consumption of sucrose and insufficient consumption of protein, fiber, eicosapentaenoic acid, niacin and vitamin B6."
1987_0_edt,"In addition, almost 30% of those ineligible were taking a statin, suggesting the guidelines will provide an opportunity to decrease statin use in those at low ASCVD risk."
1990_0_edt,"Thus, the gut will mediate vitamin D effects."
1992_0_edt,"These observations suggest that OSA responds early and out of proportion to weight loss after metabolic and or bariatric surgery, thus weight independent factors will at least in part be responsible for early improvement in OSA postoperatively."
1993_0_edt,Our findings suggest that Mg will inhibit vascular calcification.
1994_0_edt,"Our results confirm the relationship between variations in PON1 activities and lipid metabolism, and showed that genetically programmed low PON1 activities had certain responsibility in the increase in glycemia and concomitantly the aggravation of atherosclerotic disease."
1999_0_edt,Interventions that increase screening uptake will increase subsequent engagement with information.
2002_0_edt,There will be scope to reduce barriers to accessing non-English information and alternative communication strategies will benefit participants who are less inclined to weigh up advantages and disadvantages as part of their decision-making.
2003_0_edt,Our trial suggested that the effects of cooking classes focussing on salt reduction for housewives was transferred to family members (UMIN-CTR: 000018870).
2006_0_edt,"Moreover, its graphical representation was helpful for clinical decision making."
2014_0_edt,"These will represent a precursor or forme fruste of the osteosarcopenic obesity phenotype in young healthy overweight/obese subjects, who will develop osteosarcopenia in its full form at an older age."
2015_0_edt,Mind subtraction meditation had positive therapeutic effects among breast cancer survivors.
2019_0_edt,Interventions targeting replacing sedentary behavior with PA will improve metabolic risk.
2023_0_edt,"""Pregnancies in youth with type 2 diabetes was especially prone to result in congenital anomalies."""
2024_0_edt,Validation of these biomarkers and their potential treatment modulation will influence the clinical care of patients with CCM disease.
2026_0_edt,""" Our findings suggest that greater levels of social support will improve certain indicators of physical and mental wellbeing in older adults with type 2 diabetes, regardless of the presence of diabetes complications and other chronic pathologies."""
2027_0_edt,hsTnI had a role in personalizing preventive strategies in patients with diabetes mellitus based on risk.
2029_0_edt,"This notion had an impact on self-perception and dieting behaviour in certain individuals, precipitating and promoting disturbed eating attitudes and behaviour that will lead to the onset of eating disorders."
2033_0_edt,"In a real-life setting, we confirmed in eyes with center-involved DME without prior glaucoma or IOP elevation that repeated anti-VEGF IVI will increase the risk of sustained IOP elevation in about 7% of eyes."
2037_0_edt,"Increased IOP together with decreased retrobulbar blood flow, particularly in obese individuals, will increase the risk of glaucoma development."
2039_0_edt,Deferiprone-containing chelating agent had a protective effect.
2040_0_edt,PFASs exposure in obese children will play a role in adverse skeletal and cardiovascular risk profiles.
2041_0_edt,We would postulate that SMS would affect peoples adherence to preventive programs.
2043_0_edt,"""Certain reproductive factors had a greater impact on the risk of certain molecular subtypes of disease compared with others."""
2047_0_edt,Incorporating culturally centered individualized MT was an effective intervention to reduce stressors.
2050_0_edt,Selected cachectic cancer patients will benefit from this experimental approach.
2055_0_edt,"However, use of metformin will reduce mortality from other causes."
2057_0_edt,"""Thus, promoting social support for the IMSS diabetic patients was a useful intervention."""
2058_0_edt,"Our results further indicate that the model of care had an impact on families daily living, not only during the initial period of care but for a longer period of time."
