pmid,sentence
1356_0_alt_multiples,NFB disappears NFB disappears NFB disappears
1357_0_edt_multiples,This did not include This did not include This did not include This did not include
1358_0_edt_multiples,is not essential is not essential is not essential is not essential
1359_0_edt_multiples,is no is no is no is no
1360_0_alt_multiples,supplementation decreased supplementation decreased supplementation decreased supplementation decreased supplementation decreased
1361_0_alt_multiples,regimens decreased regimens decreased regimens decreased
1362_0_edt_multiples,"is not needed, is not needed, is not needed, is not needed, is not needed, is not needed, is not needed, is not needed, is not needed,"
1363_0_edt_multiples,loss did not show loss did not show loss did not show loss did not show loss did not show
1364_0_edt_multiples,was not affected was not affected was not affected was not affected was not affected
1365_0_edt_multiples,analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide analyses did not provide
1366_0_edt_multiples,intervention did not result intervention did not result intervention did not result
1367_0_alt_multiples,was unable was unable was unable was unable was unable
1368_0_edt_multiples,study did not provide study did not provide study did not provide study did not provide study did not provide study did not provide study did not provide study did not provide study did not provide
1370_0_edt_multiples,There is not There is not There is not There is not There is not There is not There is not
1372_0_edt_multiples,had no had no had no had no had no had no had no had no had no had no had no
1373_0_edt_multiples,counseling did not help counseling did not help counseling did not help counseling did not help
1374_0_edt_multiples,we did not find we did not find we did not find we did not find we did not find we did not find we did not find
1375_0_alt_multiples,are ineffective are ineffective are ineffective are ineffective are ineffective
1376_0_edt_multiples,This did not randomize This did not randomize This did not randomize This did not randomize This did not randomize This did not randomize This did not randomize This did not randomize This did not randomize
1377_0_alt_multiples,was unable was unable was unable was unable was unable was unable was unable was unable
1378_0_edt_multiples,was no was no was no was no was no was no was no was no
1379_0_edt_multiples,are no are no are no are no are no
1381_0_edt_multiples,anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result anacetrapib did not result
1383_0_edt_multiples,levels did not contribute levels did not contribute levels did not contribute levels did not contribute
1384_0_edt_multiples,have no have no have no have no have no have no have no have no
1385_0_edt_multiples,been not found been not found been not found been not found been not found been not found been not found been not found been not found been not found been not found
1386_0_edt_multiples,trial did not demonstrate trial did not demonstrate trial did not demonstrate trial did not demonstrate trial did not demonstrate trial did not demonstrate trial did not demonstrate
1387_0_edt_multiples,not not benefit not not benefit not not benefit not not benefit not not benefit not not benefit not not benefit
1388_0_alt_multiples,findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate findings contraindicate
1389_0_edt_multiples,support are not support are not support are not support are not support are not support are not support are not
1390_0_edt_multiples,be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial be not beneficial
1391_0_edt_multiples,This did not lead This did not lead This did not lead This did not lead
1392_0_edt_multiples,"women did not was, women did not was, women did not was, women did not was,"
1393_0_edt_multiples,can not improve can not improve can not improve can not improve can not improve
1394_0_edt_multiples,chemotherapy had not chemotherapy had not chemotherapy had not chemotherapy had not chemotherapy had not
1395_0_alt_multiples,associations contraindicate associations contraindicate associations contraindicate associations contraindicate associations contraindicate associations contraindicate associations contraindicate
1397_0_edt_multiples,is no is no is no is no is no is no
1399_0_edt_multiples,data did not provide data did not provide data did not provide data did not provide data did not provide data did not provide
1400_0_edt_multiples,highly not tolerable highly not tolerable
1402_0_edt_multiples,findings did not reveal findings did not reveal findings did not reveal findings did not reveal findings did not reveal findings did not reveal findings did not reveal findings did not reveal
1404_0_edt_multiples,therapy did not increase therapy did not increase therapy did not increase
1405_0_edt_multiples,findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest findings did not suggest
1407_0_edt_multiples,be not amplified be not amplified be not amplified
1408_0_edt_multiples,DF did not contribute DF did not contribute DF did not contribute
1409_0_edt_multiples,program did not reduce program did not reduce program did not reduce program did not reduce program did not reduce
1410_0_alt_multiples,caregivers unimproved caregivers unimproved caregivers unimproved caregivers unimproved caregivers unimproved
1411_0_alt_multiples,more inefficient more inefficient more inefficient more inefficient more inefficient more inefficient more inefficient more inefficient
1412_0_alt_multiples,more ineffective more ineffective more ineffective more ineffective more ineffective more ineffective more ineffective
1413_0_alt_multiples,is unnecessary is unnecessary is unnecessary is unnecessary is unnecessary
1414_0_edt_multiples,syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce syndrome did not reduce
1415_0_edt_multiples,research did not reveal research did not reveal research did not reveal research did not reveal research did not reveal research did not reveal research did not reveal research did not reveal research did not reveal research did not reveal
1417_0_edt_multiples,is no is no is no is no is no is no is no is no is no
1418_0_edt_multiples,study did not suggest study did not suggest study did not suggest study did not suggest study did not suggest study did not suggest study did not suggest
1419_0_edt_multiples,surgery did not result surgery did not result surgery did not result surgery did not result surgery did not result surgery did not result
1421_0_edt_multiples,was no was no was no was no was no was no
1422_0_edt_multiples,study did not demonstrate study did not demonstrate study did not demonstrate study did not demonstrate study did not demonstrate
1424_0_edt_multiples,analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest analysis did not suggest
