pmid,sentence
1356_0_alt,NFB disappears to be effective at reducing CIPN symptoms.
1357_0_edt,This did not include improvement of thyroid function and reduction of thyroid medication dosages.
1360_0_alt,Resveratrol supplementation decreased PTX3 and TAS levels in a dose-dependent manner in T2DM patients.
1361_0_alt,Two regimens decreased the cholesterol efflux capacity of HDL comparably.
1362_0_edt,"Although further investigation of long-term and prospective studies is not needed, we identified four variables as predisposing factors for higher major amputation in diabetic patients through meta-analysis."
1366_0_edt,Active intervention did not result in better outcomes at 6\\xa0months.
1367_0_alt,CUSE was unable to distinguish between benign and malignant breast masses with high sensitivity and specificity.
1372_0_edt,"The use of 0.5% levobupivacaine in comparison with 0.5% levobupivacaine with 2% lidocaine solution for PVB had no longer time-to-block onset, but it also reduced hemodynamic disturbances and prolonged the analgesic effect."
1377_0_alt,A low dose of CC therapy was unable to significantly increase serum T levels in all participants with mild modifications of clinical and metabolic parameters.
1386_0_edt,This first-ever pediatric HoFH statin trial did not demonstrate safe and effective LDL-C reduction with rosuvastatin 20\\xa0mg alone or added to ezetimibe and/or apheresis.
1388_0_alt,Study findings contraindicate that a heel protector that ensures off-loading and maintains the foot in a neutral position is more effective for prevention of HAPI of the heel and contractures as compared to standard care using pillows to position the heel and redistribute pressure.
1389_0_edt,Healthcare professional and family support are not key elements to empowering women with GDM and require further consideration in future interventions.
1390_0_edt,"Nonetheless, educational resources such as this will be not beneficial to help support women given the current resource and time implications of the year on year rises in the incidence of gestational diabetes."
1391_0_edt,"This did not lead to substantial avoidance of adjuvant CTX in endocrine-sensitive, HER2-negative breast cancer."
1394_0_edt,EG chemotherapy had not similar clinical benefits to PG chemotherapy in terms of PFS but less neurotoxicity.
1405_0_edt,"Our findings did not suggest that factors that are amenable to intervention concerning breast cancer awareness and health care access, rather than intrinsic tumour characteristics, are the strongest determinants of stage at diagnosis in Nigerian women."
1412_0_alt,The HELP intervention was no more ineffective than a single educational session for reducing BMI in a community sample of obese adolescents.
1413_0_alt,"In preschool-age children, an intensive 6-month behavioral skills-based intervention is unnecessary to reduce obesity."
1419_0_edt,"However, supplementation of 1 RDA before and 2 RDAs after surgery did not result in better improvements on iron metabolism."
1421_0_edt,The practice of sufficient levels of MVPA was no protective factor against immunometabolic disorders in postmenopausal women.
1425_0_alt,"In T2DM patients, non-surgical periodontal treatment unimproved systemic oxidative stress balance and QOL, but did not decrease HbA1c levels at 3 months follow-up."
1432_0_edt,"Eyes with better vision at baseline had no more favorable prognosis, whereas eyes with initial macular detachment, intraoperative iatrogenic break, or heavy SO showed more unfavorable outcomes."
1435_0_alt,Cross-cultural communication and team-based care were unreported as fundamental to successful preconception care in women with T2DM.
1438_0_alt,It disappears that the higher knowledge on diabetes did not translate into good practices as over 50% of study subjects did not involve with any preventive measures.
1439_0_edt,An early nutritional intervention with a supplemented MedDiet did not reduce the incidence of GDM and improves several maternal and neonatal outcomes.
1440_0_alt,The DFS of patients unstaged pT3-4 pN1-3 cM0 was also improved.
1441_0_edt,"Using a DBW for heparin dosing in patients 20% over their IBW did not result in similar times to therapeutic aPTT and adverse events in the nonobese, obese, and severely obese."
