pmid,sentence
1356_0_alt_shorten,NFB disappears be
1357_0_edt_shorten,This did not include improvement
1358_0_edt_shorten,development is not essential for
1359_0_edt_shorten,There is no effect
1360_0_alt_shorten,supplementation decreased levels in
1361_0_alt_shorten,regimens decreased capacity
1362_0_edt_shorten,"is not needed, we identified variables as"
1363_0_edt_shorten,loss did not show effects
1364_0_edt_shorten,Sarcopenia was not affected by during
1365_0_edt_shorten,analyses did not provide evidence
1366_0_edt_shorten,intervention did not result in at
1367_0_alt_shorten,CUSE was unable
1368_0_edt_shorten,study did not provide evidence
1370_0_edt_shorten,There is not evidence
1372_0_edt_shorten,"use had no longer onset,"
1373_0_edt_shorten,counseling did not help maintain
1374_0_edt_shorten,In we did not find reflux following
1375_0_alt_shorten,conbercept are ineffective
1376_0_edt_shorten,This did not randomize demonstrated
1377_0_alt_shorten,dose was unable
1378_0_edt_shorten,chain was no strategy
1379_0_edt_shorten,There are no indications
1381_0_edt_shorten,Among use did not result in
1383_0_edt_shorten,Obstruction did not contribute more towards
1384_0_edt_shorten,cancer have no effect are
1385_0_edt_shorten,treatment has not been not found be
1386_0_edt_shorten,trial did not demonstrate safe reduction or added
1387_0_edt_shorten,Patients do not not benefit from
1388_0_alt_shorten,findings contraindicate is
1389_0_edt_shorten,support are not elements and require
1390_0_edt_shorten,resources will be not beneficial help rises
1391_0_edt_shorten,This did not lead to
1392_0_edt_shorten,"Intervention-effect was, not did"
1393_0_edt_shorten,"assessment can not improve PPVs, in"
1394_0_edt_shorten,chemotherapy had not benefits in but neurotoxicity.
1395_0_alt_shorten,associations contraindicate be
1397_0_edt_shorten,determinant effect is no
1399_0_edt_shorten,data did not provide support co-transporter in
1400_0_edt_shorten,rechallenge was highly not tolerable
1402_0_edt_shorten,"Furthermore, findings did not reveal are"
1404_0_edt_shorten,therapy did not increase Ptco2 in
1405_0_edt_shorten,findings did not suggest are
1407_0_edt_shorten,risk can be not amplified by
1408_0_edt_shorten,Possibly polyphenols did not contribute to
1409_0_edt_shorten,program did not reduce risk in
1410_0_alt_shorten,Participatory community-based education for caregivers unimproved
1411_0_alt_shorten,method is inefficient
1412_0_alt_shorten,intervention was ineffective
1413_0_alt_shorten,In intervention is unnecessary reduce
1414_0_edt_shorten,addition did not reduce frequency
1415_0_edt_shorten,research did not reveal are womens
1417_0_edt_shorten,intervention is no massage
1418_0_edt_shorten,study did not suggest steroids dexamethasone
1419_0_edt_shorten,supplementation RDAs did not result in
1421_0_edt_shorten,no practice factor was
1422_0_edt_shorten,study did not demonstrate make
1424_0_edt_shorten,was results did not suggest administered
1425_0_alt_shorten,In treatment unimproved balance but decrease
1426_0_edt_shorten,efficiency can be not improved by
1428_0_edt_shorten,Findings did not reinforce role
1429_0_edt_shorten,supplements can not help prevent
1430_0_edt_shorten,data did not suggest occurred
1432_0_edt_shorten,"Eyes had no prognosis, showed"
1434_0_edt_shorten,study did not suggest contribute
1435_0_alt_shorten,communication were unreported as to
1437_0_edt_shorten,After chemotherapy was not safe
1438_0_alt_shorten,It disappears translate involve
1439_0_edt_shorten,intervention did not reduce incidence and improves
1440_0_alt_shorten,DFS unstaged pT3-4 pN1-3 was
1441_0_edt_shorten,Using did not result in to in
1442_0_edt_shorten,demonstrate it is not hoped receive
1443_0_alt_shorten,findings are conclusive
1446_0_edt_shorten,findings did not suggest play
1447_0_edt_shorten,In albiglutide not resulted in and was
1449_0_alt_shorten,Ziv-aflibercept disappears be
1450_0_edt_shorten,adiposity have no effects and type
1451_0_edt_shorten,GISTs may not represent example
1452_0_edt_shorten,"corticosteroids did not result in and decreased infection."""
1453_0_edt_shorten,data did not suggest exercise
1454_0_alt_shorten,Improving is noncritical
1457_0_edt_shorten,intervention did not reduce time and improved
1458_0_edt_shorten,resection is not feasible nor are
1459_0_edt_shorten,study has not enhanced understanding
1460_0_alt_shorten,levels unprotected against
1461_0_edt_shorten,In demonstrated did not result in at but
1462_0_edt_shorten,cannot be not inferred from
1463_0_edt_shorten,"dose-response was not demonstrated, highlighting"
1465_0_edt_shorten,study did not show effect seemed
1466_0_edt_shorten,Participating did not result in in
1467_0_edt_shorten,"intervention, did not not persist in CRD."
1468_0_alt_shorten,Although register has not been unreported improve
1469_0_edt_shorten,It has therefore not contributed to and may
1470_0_edt_shorten,norepinephrine did not not result in in compared despite
1471_0_alt_shorten,Timing is uncritical
1472_0_edt_shorten,Differences did not suggest attributed
1473_0_edt_shorten,In did not fail identify
1474_0_edt_shorten,"disappeared data did not suggest programs, were"
1475_0_edt_shorten,was benefit seen. not
1476_0_edt_shorten,In had no benefit but have
1477_0_edt_shorten,In authors did not find effects
1478_0_edt_shorten,stiffness was not improved by in
1480_0_edt_shorten,findings did not show benefit
1481_0_edt_shorten,BRBC does not improve survival in follow is not warranted.
1482_0_alt_shorten,Ezetimibe decreased efficiency from into
1483_0_alt_shorten,insulin QID is ineffective
1486_0_edt_shorten,EVR did not attenuate gain at compared
1487_0_alt_shorten,contraindicate exercise are effective
1489_0_edt_shorten,not Implementation feasible was
1490_0_edt_shorten,combination therapy was no
1491_0_edt_shorten,Pilates not impact quality
1492_0_edt_shorten,Prescribing had no effect and reduce
1495_0_edt_shorten,economics has been not demonstrated be
1496_0_edt_shorten,results did not support be
1497_0_edt_shorten,impact is still not unclear.
1498_0_edt_shorten,study did not suggest was
1499_0_edt_shorten,similar effect was not
1500_0_edt_shorten,gain was not not achieved at
1501_0_edt_shorten,intervention had no effect in among preventing
1506_0_edt_shorten,was no threat hyperglucagonemia
1507_0_alt_shorten,intervention was unsuccessful in
1508_0_edt_shorten,During are not safe
1509_0_alt_shorten,They disallow patients eat
1510_0_edt_shorten,presence did not not interfere with
1512_0_edt_shorten,intervention did not not result in
1513_0_edt_shorten,"introduction can not enhance cardiovascular risk, among"
1515_0_edt_shorten,data did not suggest lead
1517_0_edt_shorten,In 2B not randomized trial compared accelerated
1518_0_alt_shorten,â€œMetformin increased score and improved observed
1519_0_edt_shorten,results did not show enhance
1520_0_edt_shorten,In YY-312 did not result in being
1521_0_edt_shorten,results did not show effect
1522_0_alt_shorten,"Therefore, monitoring is unimportant slow but needed"
1524_0_edt_shorten,effects were not observed in
1525_0_edt_shorten,It did not show improve
1527_0_edt_shorten,study did not show affect
1528_0_alt_shorten,decreased presence frequency
1529_0_edt_shorten,consumption did not lead to
1530_0_alt_shorten,Teneligliptin was ineffective tolerated
1531_0_alt_shorten,DBT decreased conspicuity but failed
1532_0_alt_shorten,were staff unable
1533_0_edt_shorten,study did not demonstrate effects
1534_0_edt_shorten,Infants were not found benefit
1535_0_edt_shorten,development is strongly not affected by
1537_0_alt_shorten,findings contraindicate care have
1538_0_alt_shorten,counseling noncritical improve is
1541_0_edt_shorten,study did not provide information
1542_0_edt_shorten,attention is no factor
1544_0_alt_shorten,We unconfirmed effectiveness
1545_0_alt_shorten,results are inconsistent
1546_0_edt_shorten,indicators did not play role
1547_0_edt_shorten,performance did not achieve results in ETM.
1548_0_edt_shorten,In index were not factors
1551_0_edt_shorten,We did not find benefit
1552_0_edt_shorten,treatment implantation is no
1553_0_edt_shorten,Eyes was not prone and was
1554_0_edt_shorten,study did not suggest resulted
1555_0_edt_shorten,Women did not maintain control during
1556_0_edt_shorten,therapy did not result in with
1557_0_edt_shorten,DM determinant is no
1558_0_edt_shorten,cannabis was not found improve and cause
1559_0_edt_shorten,There was no effect
1560_0_alt_shorten,meta-analysis contraindicates effect
1561_0_edt_shorten,Results did not highlight importance
1563_0_edt_shorten,DBT did not improve characterization
1564_0_edt_shorten,Correct is no issue
1565_0_edt_shorten,intervention did not lead to
1567_0_alt_shorten,In strains were unsusceptible
1568_0_alt_shorten,unimproved administrated administration outcome
1570_0_alt_shorten,complications undevelopped effectively addresses
1571_0_edt_shorten,involvement not improved control
1572_0_alt_shorten,implants can also be misused in
1577_0_edt_shorten,findings did not suggest is
1579_0_alt_shorten,effect is dependent
1582_0_edt_shorten,Based can not help explain
1584_0_edt_shorten,levels did not tend increase
1585_0_edt_shorten,"overall analysis did not demonstrate benefit to vaccination."""
1588_0_edt_shorten,consumption did not elicit increases
1589_0_edt_shorten,study did not highlight significance improving
1590_0_edt_shorten,diagnosis did not lead to
1591_0_edt_shorten,association can be partially not explained by
1592_0_edt_shorten,"bodylift is no procedure,"
1593_0_alt_shorten,quality is also unimproved
1594_0_edt_shorten,To reduce factors not serves
1595_0_edt_shorten,years did not not result in
1596_0_alt_shorten,ineffective In was
1599_0_alt_shorten,Telmisartan unimproved fibrosis through
1600_0_edt_shorten,Type had not little impact on
1601_0_edt_shorten,"Stosstherapy is no safe, cheap method"
1602_0_edt_shorten,were not ambiguous. effects
1603_0_alt_shorten,In unimproved wound rate
1604_0_edt_shorten,infection did not contribute decreased
1605_0_edt_shorten,AHI did not contribute to
1606_0_alt_shorten,"""RGPC did not disappear affect"
1607_0_edt_shorten,We did not find SVR reduce
1608_0_edt_shorten,results did not add strength to
1609_0_alt_shorten,Given observations are probably undue
1610_0_alt_shorten,Success is unaffected
1611_0_alt_shorten,by consumption decreased intakes
1613_0_edt_shorten,EN is not suitable
1614_0_edt_shorten,Symptoms did not develop earlier in but delayed
1615_0_edt_shorten,use did not have no effect.
1616_0_edt_shorten,presence has not promoted change and about
1618_0_edt_shorten,weakens it does not predictably not affect is
1620_0_alt_shorten,function were unaffected
1621_0_edt_shorten,Treatment did not result in
1623_0_alt_shorten,exenatide were ineffective
1626_1_edt_shorten,"are not determinants cholesterol,"
1630_0_edt_shorten,Transfers did not destine for reduced
1631_0_edt_shorten,Evidence did not suggest realised
1633_0_edt_shorten,combinations not distinguish populations
1634_0_alt_shorten,increase increased odds by during
1635_0_edt_shorten,patients were not prone insulin
1636_0_edt_shorten,CD can not confer benefits to
1637_0_edt_shorten,diarrhea is mostly not caused by
1638_0_edt_shorten,difference was not found between
1639_0_edt_shorten,refeeding is not safe nor decrease
1640_0_edt_shorten,benefits are well not known.
1641_0_alt_shorten,requirement were clinically invalidated for
1642_0_edt_shorten,"""Amelioration did not improve significantly features in women."""
1643_0_edt_shorten,"""Our findings did not show results profile."""
1644_0_edt_shorten,this did not randomise treatment
1645_0_alt_shorten,"""The effect was not independent"
1646_0_edt_shorten,"""Daily treatment is no alternative"
1648_0_edt_shorten,"""A gain did not contribute in to"
1652_0_edt_shorten,safe combination is not
1653_0_edt_shorten,"""The results are not consistent"
1654_0_edt_shorten,"""It not leads to and is"
1657_0_edt_shorten,treatment did not demonstrate effect
1658_0_alt_shorten,therapies decreased level
1659_0_edt_shorten,Applying will not create understanding
1660_0_edt_shorten,Feeding breastmilk did not increase rate
1661_0_edt_shorten,"understanding can not enhance prevention efforts, based and lead"
1662_0_edt_shorten,Despite did not suggest enhanced
1663_0_edt_shorten,Findings did not show increased
1664_0_edt_shorten,interaction have not reduced risk but after
1665_0_alt_shorten,"""Vildagliptin is ineffective tolerated added"
1667_0_edt_shorten,Intake is not high in and contributes
1668_0_alt_shorten,balance can be decreased by
1669_0_edt_shorten,"feeding was not tolerated,"
1670_0_edt_shorten,Reducing did not improve perfusion
1671_0_edt_shorten,interruption did not result in
1672_0_edt_shorten,results did not suggest are
1673_0_alt_shorten,ELCA was unsuccessful in used
1674_0_edt_shorten,effect has no level
1675_0_alt_shorten,"""However, risk is dependent index."""
1676_0_edt_shorten,Switching therapy did not improve control and well-tolerated
1677_0_edt_shorten,report did not confirm is
1678_0_edt_shorten,Surgery did not provide benefit
1679_0_alt_shorten,intake decreases cholesterol by in
1680_0_edt_shorten,"""It is not suggested down-regulates receptor."""
1681_0_edt_shorten,ureteroscopy has not proven be and avoid
1683_0_edt_shorten,"""PLD has no efficacy representing"
1684_0_edt_shorten,reduction is no treatment
1685_0_edt_shorten,loss has no efficacy and considered
1686_0_edt_shorten,"""Coadministration was not safe caused"
1687_0_edt_shorten,"""The pharmacokinetics were not not affected by"
1688_0_edt_shorten,"observed were not maintained during failure."""
1689_0_edt_shorten,study did not provide lines for and provides
1690_0_edt_shorten,"Not ""both diet improved control"
1690_1_edt_shorten,diet did not improve control
1691_0_alt_shorten,process has maximized time from to
1692_0_edt_shorten,"therapy was not effective, but attainment was (EAS) and ESC"
1694_0_edt_shorten,study did not find increase modify
1695_0_alt_shorten,intervention was unable
1697_0_edt_shorten,"It did not improve domains, and violence, (serum <350"
1698_0_edt_shorten,(MetS) have not negative influence
1699_0_edt_shorten,immunotherapy did not improve control and reduces
1700_0_edt_shorten,Cefoxitin is no treatment
1701_0_edt_shorten,data further not suggested influenced
1702_0_edt_shorten,"advice had not effects effects differed."""
1703_0_edt_shorten,LCD was not found significantly improve
1704_0_edt_shorten,is not safe In
1705_0_edt_shorten,"results did not support theory infancy."""
1706_0_alt_shorten,determination is noncritical
1707_0_edt_shorten,In activity did not improve prediction independently with
1708_0_alt_shorten,course can be unimproved by
1709_0_edt_shorten,"""Preoperative support should be not introduced for helps"
1710_0_edt_shorten,approach Improving is no
1711_0_edt_shorten,dose were not protective; yet have
1713_0_edt_shorten,"""Hence approaches can not help reduce"
1715_0_edt_shorten,CsA did not lead to
1716_0_edt_shorten,Enteropathogens were not found in was
1717_0_edt_shorten,findings did not demonstrate that
1718_0_edt_shorten,"procedure was not feasible nor implemented surgery."""
1719_0_edt_shorten,This did not help optimize
1720_0_edt_shorten,time did not represent factor
1721_0_edt_shorten,concentrations are not subject
1722_0_edt_shorten,replacement did not reduce gain
1723_0_alt_shorten,"Therefore, screening is noncrucial for"
1724_0_alt_shorten,patients decreased levels but reduce
1725_0_alt_shorten,Exercise decreased LM in and reduced
1726_0_edt_shorten,It did not enable graft positioning
1727_0_edt_shorten,We did not conclude achieved
1729_0_edt_shorten,highlights can successfully be not achieved using
1730_0_edt_shorten,exert is through not
1731_0_edt_shorten,"aggregation was not demonstrated, evidence"
1734_0_alt_shorten,MISC was ineffective
1736_0_edt_shorten,Pregnancy does not not lead to
1737_0_edt_shorten,PDS did not achieve results in in EOC.
1738_0_edt_shorten,For therapy is not feasible
1739_0_edt_shorten,Given considered has been not shown reduce
1741_0_edt_shorten,"complications occurred after in not lead outcomes."""
1742_0_edt_shorten,"""Fast track does not enhance recovery and is"
1743_0_edt_shorten,cancer has no effect at
1744_0_alt_shorten,Effects decreased for
1745_0_edt_shorten,cholesterol did not exhibit significant variability;
1745_1_edt_shorten,impact is not seen with
1746_0_edt_shorten,In did not switch patients from icosapent resulted
1747_0_edt_shorten,findings did not suggest increase
1748_0_edt_shorten,Girls were not prone
1750_0_edt_shorten,results did not show effects
1752_0_edt_shorten,Messages did not focus on were
1753_0_alt_shorten,interventions were ineffective but lead
1754_0_edt_shorten,Findings did not demonstrate utility
1757_0_edt_shorten,findings did not suggest enhance
1759_0_edt_shorten,supplementation did not result in but impact
1761_0_edt_shorten,Adiponectin is not shown as
1763_0_edt_shorten,In can not improve control and offer
1765_0_edt_shorten,on In did not dissipate by
1766_0_edt_shorten,work did not highlight importance
1768_0_edt_shorten,care is no treatment
1769_0_edt_shorten,anemia be not discounted as
1771_0_edt_shorten,associations were not not impacted by
1773_0_edt_shorten,effect is only not minor.
1774_0_edt_shorten,environment is not not detrimental HDL-S1P
1776_0_edt_shorten,intake did not reduce odds
1777_0_edt_shorten,program was no way decrease
1779_0_edt_shorten,Through groups are equally not effective.
1780_0_edt_shorten,rates may not fuel acquisition
1782_0_edt_shorten,In PAP did not result in
1787_0_edt_shorten,approach intervention is no
1788_0_edt_shorten,analysis did not suggest is
1789_0_edt_shorten,findings did not demonstrate benefits
1791_0_edt_shorten,presence was not not affected by
1792_0_edt_shorten,benefits were not achieved by
1793_0_edt_shorten,BMI had not driven patients seek surgery.
1795_0_edt_shorten,collaboration are not central in
1797_0_edt_shorten,predicted did not mediate relationship
1798_0_edt_shorten,study did not highlight role
1800_0_edt_shorten,results did not suggest promise
1801_0_edt_shorten,findings did not suggest effect on
1802_0_edt_shorten,impact factors had no
1803_0_edt_shorten,counseling can not produce loss regardless
1804_0_edt_shorten,inhibitors did not suppress secretion in in
1807_0_edt_shorten,status did not affect time
1809_0_edt_shorten,In did not seem have
1810_0_alt_shorten,This is unimportant given
1810_1_alt_shorten,worldwide; management is uncritical
1811_0_alt_shorten,risk was dissimilar in reduce
1812_0_alt_shorten,decreased likelihood presence
1814_0_edt_shorten,establishment will effectively not contribute to
1815_0_edt_shorten,intervention did not promote changes
1816_0_edt_shorten,meta-analysis did not suggest improves
1817_0_alt_shorten,intervention light was ineffective
1818_0_edt_shorten,surgery did not induce disappearance from and reduced
1819_0_edt_shorten,L-trp is no regulator
1820_0_edt_shorten,"Surgical, treatment, consistently not led to"
1821_0_alt_shorten,TyG is ineffective
1822_0_edt_shorten,not small. were were
1823_0_edt_shorten,effect was not small nor be
1824_0_edt_shorten,program did not demonstrate feasibility
1826_0_alt_shorten,detection are noncrucial for
1827_0_edt_shorten,Reduction is not mediated by through
1828_0_edt_shorten,study did not provide evidence LDL-C.
1829_0_alt_shorten,Statins are ineffective
1830_0_alt_shorten,reconstruction decreased satisfaction but influence
1831_0_edt_shorten,LGP has no potential
1832_0_edt_shorten,result did not show use is
1835_0_edt_shorten,loss did not result in
1837_0_alt_shorten,Results are discouraging and disprove was
1838_0_edt_shorten,data did not emphasize importance
1839_0_edt_shorten,differences did not suggest were
1840_0_edt_shorten,"Moreover, data did not provide support"
1841_0_edt_shorten,dose can not achieve balance and lead
1842_0_edt_shorten,Based did not improve QoL with
1844_0_edt_shorten,"However, results did not suggest are are"
1845_0_edt_shorten,data did not suggest is
1848_0_edt_shorten,explore is both not new and reduces
1849_0_edt_shorten,African womens knowledge not improve
