pmid,sentence
1356_0_alt_synonyms,NFB disappears to costs efficaciou at deoxidizing CIPN symptoms.
1357_0_edt_synonyms,This did not admit improvement of thyroid operation and step-down of thyroid secrete medicine dosages.
1358_0_edt_synonyms,The exploitation of effective targeted therapy is non all-important for this breast malignant neoplastic disease subtype.
1359_0_edt_synonyms,There personifies no well-dispose essence of BS on the hypothyroid bariatric population.
1360_0_alt_synonyms,Resveratrol subjoining diminished PTX3 and TAS pull refinement in a dose-dependent way in T2DM patients.
1361_0_alt_synonyms,2s regime decreased the cholesterin effluence capacitance of HDL comparably.
1362_0_edt_synonyms,"Although farther investigation of long-term and prospective memory is not needed, we identified foursome variable as predisposing factor out for higher major amputation in diabetic patients through meta-analysis."
1363_0_edt_synonyms,"knows weight red did non depict mixed effects on circulating biomarkers, neoplasm gene expression, and proliferative markers."
1364_0_edt_synonyms,Sarcopenia during HSCT lived non unnaturalled by oral thermal intake during the preparedness regimen and after transplantation.
1365_0_edt_synonyms,The present tense depth psychology ejaculated not provide rich novel evidence for the short- and long-term benefits of lowering LDL-C for the primary prevention of cardiovascular disease among individuals with primary aggrandizement of LDL-C â‰¥190 mg/dL.
1366_0_edt_synonyms,Active interference ejaculated non result in good issue at 6\\xa0months.
1367_0_alt_synonyms,CUSE was ineffectual to tell between benign and malignant goof mickle with highschool sensitivity and specificity.
1368_0_edt_synonyms,This meditation made not cater evidence to suggest that body contouring plays an important role in the angle loss patients travel and that patients need access to treatments.
1370_0_edt_synonyms,"There is non CBC and biochemical presentation to endorse the concern that fleshiness influences laboratory values, yet in dogs considered clinically healthy."
1372_0_edt_synonyms,"The employment of 0.5% levobupivacaine in comparison with 0.5% levobupivacaine with 2% lidocaine solution for PVB had no longsight time-to-block onset, but inform engineer also cut back hemodynamic disturbances and prolonged the analgesic effect."
1373_0_edt_synonyms,Sexual counsel caused non help adult female preserve stable sexual function on aromatase inhibitors.
1374_0_edt_synonyms,""" In a prospective study of patients with esophagitis or Barretts esophagus, we got along not find belt compression increased acidulou ebb coming after a meal."
