pmid,sentence
1356_0_alt_t5para,Puffing; NFB disappears to be effective in reducing CIPN symptoms.
1357_0_edt_t5para,"There were no thyroid adjustments. Hence, this did not include improvement of thyroid function. (This did not include reduction of thyroid medication dosages)."
1358_0_edt_t5para,"Despite the fact that breast cancer has become untreatable, the development of effective targeted therapies is not essential for this breast cancer subtype."
1359_0_edt_t5para,Possible adverse effects of BS on hypothyroid bariatric patients.
1360_0_alt_t5para,In T2DM patients a dose-dependent difference of PTX3 and TAS was observed with Resveratrol.
1361_0_alt_t5para,"Two regimens decreased the cholesterol efflux capacity of HDL compared to the BP cholesterol. (Amount Ivar,  170, 30)"
1362_0_edt_t5para,"In diabetic patients, we identified four variables as predisposing factors for higher major amputation through meta-analysis."
1363_0_edt_t5para,"On the basis of weight loss and age, no brain functioning, circulating and proliferative molecules showed no results. If weight loss was intentional, the effects would be minimised or eliminated."
1364_0_edt_t5para,Pharmacokinetics: Sarcopenia during HSCT was not affected by oral caloric intake during the preparation regimen and after transplantation.
1365_0_edt_t5para,The present analyses did not provide robust novel evidence for the short- and long-term benefits of lowering LDL-C for the primary prevention of cardiovascular disease among individuals with primary elevations of LDL-C â190 mg/dL.
1366_0_edt_t5para,Active intervention did not result in better outcomes at 6xa0months.
1367_0_alt_t5para,"By way of example, CUSE failed to distinguish between benign and malignant breast masses with high sensitivity and specificity."
1368_0_edt_t5para,"No research was done on the body contouring, but the results did not suggest that the body contouring can actually accelerate the weight loss journey."
1370_0_edt_t5para,Clinically healthy dogs have less obesity than normal dogs. We find there's no evidence to substantiate obesity. We even had a dog who was admitted to an ICU for a 3 year medical rehabilitation.
1372_0_edt_t5para,"If PVB was less than 6 hours, the use of 0.5% levobupivacaine had no longer time-to-block onset, but it also reduced hemodynamic disturbances and prolonged the analgesic effect."
1373_0_edt_t5para,Sexual counseling do not help women maintain stable sexual function on aromatase inhibitors.
1374_0_edt_t5para,"In a prospective study of patients with esophagitis or Barrett's esophagus, we did not find belt compression increased acid reflux following a meal. """
1375_0_alt_t5para,"Both conbercept and ranibizumab have the ineffectiveness to treat DME, achieving the similar clinical efficacy."
1376_0_edt_t5para,This did not randomize clinical trial demonstrated better postoperative outcomes when subjects received preoperative IVB 10-10xa0days before PPV compared to 1-3xa0days for the treatment of PDR-related complications. The NIH does not plan to participate in the trial.
1377_0_alt_t5para,Why is CC unable to significantly increase serum T levels in all participants with mild modifications of clinical and metabolic parameters.
1378_0_edt_t5para,"How dairy value chain was no successful strategy to distribute MNFY among pastoralists in Northern Senegal, and increase Hb concentrations among their children."
1379_0_edt_t5para,"From a DNA, fetus standpoint, no indications were made that endogenous and exogenous gonadal hormones affected the radiation dose-response relationship."
1381_0_edt_t5para,"I have atherosclerotic vascular disease who are receiving intensive statin therapy, the use of anacetrapib did not result in a lower incidence of major coronary events than the use of placebo."
1383_0_edt_t5para,"Amplified on 5th Sept 2013; Obstruction at certain anatomical levels, did not contribute more towards obstructive sleep apnoea severity."
1384_0_edt_t5para,If cancer screening inclusion criteria of the national referral system have no strong effect on receipt of screening; LE considerations are less influential.
1385_0_edt_t5para,"Preoperative IGB treatment has not been found to be effective at decreasing postsurgical morbidity LSG and LGBP, despite the fact that it acheives a greater weight loss than diet and exercise."
1386_0_edt_t5para,This first-ever pediatric HoFH statin trial did not demonstrate safe and effective LDL-C reduction with rosuvastatin 20xa0mg alone or added to ezetimibe and/or apheresis.
1387_0_edt_t5para,Patients with diabetes and cardiovascular disease do not not benefit from the addition of aliskiren to standard medical therapy.
1388_0_alt_t5para,"Generally speaking, a heel protector is more effective in preventing HAPI of the heel and contractures as compared to standard care using pillows to position the heel and redistribute pressure. These findings are related to a heel protector that ensures off-loading and maintains the foot in a neutral position."
1389_0_edt_t5para,Healthcare professional support is not key elements to empowering women with GDM and require further consideration in future interventions.
1390_0_edt_t5para,"Nonetheless, educational resources such as this will not be beneficial to help support women given the current resource and time implications of the year on year rises in the incidence of gestational diabetes."
1391_0_edt_t5para,"Ultimately, these conditions did not lead to substantial avoidance of adjuvant CTX in endocrine-sensitive, HER2-negative breast cancer."
1392_0_edt_t5para,We observed that the intervention-effect was not dependent on exercise-adherence.
1393_0_edt_t5para,""" Careful assessment of findings as BPE versus NME can not improve PPVs, especially in younger women."
1394_0_edt_t5para,EG was not similar clinically to PG but less neurotoxicity.
1395_0_alt_t5para,The associations contraindicate that environmental exposure to POPs can be a factor increasing the risk of breast cancer in Inuit women.
1397_0_edt_t5para,"Allosteric effect of p,p-DDE is no major determinant responsible for association of p,p-DDE with LV mass."
1399_0_edt_t5para,These cardiac biomarker data did not provide support for the beneficial cardiovascularxa0effect of sodium glucose co transporter 2 inhibitors in T2DM.
1400_0_edt_t5para,Was same-statin rechallenge highly not tolerable nor efficacious.
1402_0_edt_t5para,"In addition, these findings did not reveal that the benefits of physical activity to cognitive function are particularly evident among children who are obese."
1404_0_edt_t5para,Oxygen therapy did not increase Ptco2 in morbidly obese patients.
1405_0_edt_t5para,"Our findings did not suggest that factors that are amenable to intervention regarding breast cancer awareness and health care access, rather than intrinsic tumour characteristics, are the strongest determinants of stage at diagnosis in Nigerian women."
1407_0_edt_t5para,A high household chores load can be a serious risk to persons.
1408_0_edt_t5para,Some of the polyphenols and DF did not contribute to the beneficial effects.
1409_0_edt_t5para,The PA program is not supposed to cure MBMD. It can cause severe distress and disability.
1410_0_alt_t5para,Participatory community-based nutrition education for caregivers improved child dietary diversity even in a food insecure area.
1411_0_alt_t5para,The PCxa0+xa0EC method is more inefficient for improving serum lipids and enhancing health awareness than any single programme in older adults with dyslipidaemia.
1412_0_alt_t5para,Health education was no more ineffective than a single educational session for reducing BMI in a community sample of obese adolescents.
1413_0_alt_t5para,"In preschool age children, an intensive 6-month behavioral skills-based intervention is unnecessary to reduce weight."
1414_0_edt_t5para,"When blood is injected with simvastatin in a diabetic patient, ezetimibe is effective as side effect of steroid injection to a diabetic patient with acute coronary syndrome. It does not reduce the frequency of ischemic strokes but improves the patient's blood pressure after treatment in patients with recent strokes. The anticoagulants can also be effective."
1415_0_edt_t5para,The research did not reveal that practical barriers and attitudes towards general health check-ups are important factors to take into account in determining African migrant women participation in breast cancer screening.
1417_0_edt_t5para,Aromatherapy massage is a simple and effective nonpharmacological nursing intervention that can be used to manage neuropathic pain and improve QoL in patients with painful neuropathy.
1418_0_edt_t5para,"Our study did not suggest intravitreal steroids (triamcinolone, dexamethasone implants) significantly reduce HEs in DME patients on short-term follow-up, whereas intravitreal bevacizumab doesn't."
1419_0_edt_t5para,Whilst supplementation 1 RDA before and 2 RDAs after surgery did not result in better improvement of iron metabolism.
1421_0_edt_t5para,The practice of sufficient levels of MVPA was not protective factor against immunometabolic disorders in postmenopausal women.
1422_0_edt_t5para,We did not demonstrate how tested SNPs make differential contributions to obesity and overweight risk.
1424_0_edt_t5para,"Although the original study was underpowered to properly address long-term outcomes, the results of this analysis did not suggest that TPVB had little to no appreciable effect on local recurrence, metastasis or mortality after breast cancer surgery."
1425_0_alt_t5para,"In T2DM patients non-surgical periodontal treatment unimproved systemic oxidative stress balance and QOL, but did not decrease HbA1c levels at 3 months follow-up, in the past 5 months and 10 years."
1426_0_edt_t5para,ICG & Blue dye: the efficiency and sensitivity of SLNB can not be improved by combining them.
1428_0_edt_t5para,Findings did not reinforce the key role of MVPA for children's health.
1429_0_edt_t5para,Orally administered nutritional supplements will not help to prevent onset of sarcopenic obesity.
1430_0_edt_t5para,"Our data did not suggest that IFG occurred in 30% of Î2 TM children, maybe due to insulin resistance secondary to iron overload."
1432_0_edt_t5para,"Eyes with better vision at baseline had no more favorable prognosis, whereas eyes with initial macular detachment, intraoperative iatrogenic break, or heavy SO showed more unsuggested outcomes."
1434_0_edt_t5para,The best genetic risk variants were the genetic risk variants that contribute significantly to overall T2D risk variation in Malaysian population groups.
1435_0_alt_t5para,"Celia Matsui, Juli Kao, and Sherry Eman were unreported as fundamental to successful preconception care in T2DM patients."
1437_0_edt_t5para,"Post standard neoadjuvant chemotherapy, the addition of adjuvant capecitabine treatment was not safe nor effective in prolonging disease-free survival and overall survival among patients with HER2-negative breast cancer who had residual invasive disease on pathological testing."
1438_0_alt_t5para,"I disappear that the higher knowledge on diabetes did not translate into good practices as over 50% of study subjects did not involve with any preventive measures. And with the ongoing surveillance of increasing levels of obesity in the population, diabetes impacts peoples’ lives."
1439_0_edt_t5para,An early nutritional intervention with MedDiet did not reduce the incidence of GDM and improves several maternal and neonatal outcomes.
1440_0_alt_t5para,The DFS of unstaged patients was also improved.
1441_0_edt_t5para,"Using a DBW for heparin doses in patients 20% over their IBW did not result in similar times to therapeutic aPTT and adverse events in the nonobese, obese, and severely obese people."
1442_0_edt_t5para,"If we can demonstrate that the use of an ACE inhibitor or a BB can reduce the degree of TZB-induced cardiotoxicity, it is not hoped that patients will receive complete and uninterrupted TZB therapy for breast cancer without compromising cardiac function and/or function."
1443_0_alt_t5para,"Molecular mechanisms of EC in endometriosis are now known in women with T2D. It is possible that metformin has a negative effect on T2D. As such, our findings are conclusive as to the possible effect of metformin on the prognosis of endometriosis in endometrioid women with T2D."
1446_0_edt_t5para,Our findings did not suggest that tension and post-surgical factors play a causal role in this hitherto undescribed entity: post-reconstruction dermatitis of the breast.
1447_0_edt_t5para,"When used with Latino/Hispanic populations, not albiglutide resulted in effective lowering of glucose and modest weight loss, and was generally well tolerated."
1449_0_alt_t5para,It can be helpful to cure patients for DME refractory to Ziv-aflibercept. It is safe and effective.
1450_0_edt_t5para,How does weight gain have any effect on CHD and Type 2 diabetes mellitus.
1451_0_edt_t5para,"In the obesity paradox, obesity provides a protective effect, thus showing that GISTs are vulnerable to transgendered fats, and not to fats."
1452_0_edt_t5para,"""Using topical corticosteroids and antibiotics did not result in restoration of skin barrier integrity and decreased secondary infection"""
1453_0_edt_t5para,"In patients with sarcopenic obesity the present data did not suggest that elastic resistance exercise exerted benefits on the body composition, MQ, and physical function in patients who were an asymptomatic."
1454_0_alt_t5para,Improving preconception care among publicly insured women with diabetes is noncritical to reducing disparities in outcomes.
1457_0_edt_t5para,"RA: An individually tailored, behavioural intervention did not reduce daily sitting time in patients with RA and improved patient-reported outcomes and cholesterol levels."
1458_0_edt_t5para,"Consequently, I'm worried that a liver resection for NCNSO metastases is not feasible nor results in long term survival similar to colorectal metastases."
1459_0_edt_t5para,The study has not enhanced our understanding of the factors regulating underweight in prison population.
1460_0_alt_t5para,Higher cord plasma BDNF levels unprotected against non-diabetic macrosomia.
